phase_local_peak,correction,alpha
3.8396539859989534,Benjamini-Hochberg FDR,0.05
0.12357161912168735,Benjamini-Hochberg FDR,0.05
16.556389046237918,Benjamini-Hochberg FDR,0.05
1.4695392988816156,Benjamini-Hochberg FDR,0.05
2.6291257446494614,Benjamini-Hochberg FDR,0.05
4.925428618131129,Benjamini-Hochberg FDR,0.05
2.8974589538771856,Benjamini-Hochberg FDR,0.05
3.488774080715179,Benjamini-Hochberg FDR,0.05
2.191100610574062,Benjamini-Hochberg FDR,0.05
19.91692846661032,Benjamini-Hochberg FDR,0.05
15.45621614879783,Benjamini-Hochberg FDR,0.05
14.016173051363637,Benjamini-Hochberg FDR,0.05
20.197694157114157,Benjamini-Hochberg FDR,0.05
22.95246304094757,Benjamini-Hochberg FDR,0.05
19.97234721383451,Benjamini-Hochberg FDR,0.05
16.837931841228375,Benjamini-Hochberg FDR,0.05
22.07129317415218,Benjamini-Hochberg FDR,0.05
6.976696818326423,Benjamini-Hochberg FDR,0.05
22.66508962038095,Benjamini-Hochberg FDR,0.05
22.750639710061968,Benjamini-Hochberg FDR,0.05
3.8197120934282855,Benjamini-Hochberg FDR,0.05
19.093455539145083,Benjamini-Hochberg FDR,0.05
2.754041033684687,Benjamini-Hochberg FDR,0.05
22.579571443242436,Benjamini-Hochberg FDR,0.05
1.213065831140461,Benjamini-Hochberg FDR,0.05
14.850145267156437,Benjamini-Hochberg FDR,0.05
18.92187507198544,Benjamini-Hochberg FDR,0.05
20.408723367210875,Benjamini-Hochberg FDR,0.05
4.430410874905984,Benjamini-Hochberg FDR,0.05
20.98885884658464,Benjamini-Hochberg FDR,0.05
12.496524107140976,Benjamini-Hochberg FDR,0.05
7.627194640336412,Benjamini-Hochberg FDR,0.05
14.684827982837401,Benjamini-Hochberg FDR,0.05
6.425722957521032,Benjamini-Hochberg FDR,0.05
12.620577326459012,Benjamini-Hochberg FDR,0.05
20.72032207194387,Benjamini-Hochberg FDR,0.05
15.566732808795479,Benjamini-Hochberg FDR,0.05
17.27993532332043,Benjamini-Hochberg FDR,0.05
4.128626793985035,Benjamini-Hochberg FDR,0.05
3.6551710791059397,Benjamini-Hochberg FDR,0.05
15.99914370626006,Benjamini-Hochberg FDR,0.05
8.601756362345435,Benjamini-Hochberg FDR,0.05
10.683962470890888,Benjamini-Hochberg FDR,0.05
8.137953641321264,Benjamini-Hochberg FDR,0.05
0.6635436175487683,Benjamini-Hochberg FDR,0.05
21.464007428314346,Benjamini-Hochberg FDR,0.05
1.9214488238939602,Benjamini-Hochberg FDR,0.05
4.109950663600648,Benjamini-Hochberg FDR,0.05
21.163356757928916,Benjamini-Hochberg FDR,0.05
4.353777572244667,Benjamini-Hochberg FDR,0.05
1.1243834383763232,Benjamini-Hochberg FDR,0.05
15.011835421772153,Benjamini-Hochberg FDR,0.05
4.573294993274207,Benjamini-Hochberg FDR,0.05
5.477837890066777,Benjamini-Hochberg FDR,0.05
18.09526950548243,Benjamini-Hochberg FDR,0.05
5.482806504285098,Benjamini-Hochberg FDR,0.05
2.119741446779674,Benjamini-Hochberg FDR,0.05
4.715630455084817,Benjamini-Hochberg FDR,0.05
20.55700292880595,Benjamini-Hochberg FDR,0.05
15.16258595782726,Benjamini-Hochberg FDR,0.05
3.4385155153521216,Benjamini-Hochberg FDR,0.05
9.226543372166141,Benjamini-Hochberg FDR,0.05
16.228801261937747,Benjamini-Hochberg FDR,0.05
3.9194487883698783,Benjamini-Hochberg FDR,0.05
10.432439422484551,Benjamini-Hochberg FDR,0.05
5.542733985677142,Benjamini-Hochberg FDR,0.05
17.777927104063224,Benjamini-Hochberg FDR,0.05
0.6497494451311319,Benjamini-Hochberg FDR,0.05
12.140632508050105,Benjamini-Hochberg FDR,0.05
20.600884988082015,Benjamini-Hochberg FDR,0.05
3.4187917996786226,Benjamini-Hochberg FDR,0.05
1.695158125433839,Benjamini-Hochberg FDR,0.05
0.6548346777742999,Benjamini-Hochberg FDR,0.05
22.52310448328764,Benjamini-Hochberg FDR,0.05
4.22950084081451,Benjamini-Hochberg FDR,0.05
5.310486596650817,Benjamini-Hochberg FDR,0.05
18.99035044661612,Benjamini-Hochberg FDR,0.05
19.980400980111582,Benjamini-Hochberg FDR,0.05
2.2866209039867655,Benjamini-Hochberg FDR,0.05
22.145523504948198,Benjamini-Hochberg FDR,0.05
5.264210459242457,Benjamini-Hochberg FDR,0.05
19.16079501979491,Benjamini-Hochberg FDR,0.05
18.39183693723435,Benjamini-Hochberg FDR,0.05
16.644432001942466,Benjamini-Hochberg FDR,0.05
1.8613203280375776,Benjamini-Hochberg FDR,0.05
4.541966006059747,Benjamini-Hochberg FDR,0.05
2.8086470229636626,Benjamini-Hochberg FDR,0.05
2.5246627855561394,Benjamini-Hochberg FDR,0.05
0.912986498959441,Benjamini-Hochberg FDR,0.05
2.669966694573283,Benjamini-Hochberg FDR,0.05
22.83187868963732,Benjamini-Hochberg FDR,0.05
12.57370642574712,Benjamini-Hochberg FDR,0.05
1.5046751097134337,Benjamini-Hochberg FDR,0.05
2.8122592133512487,Benjamini-Hochberg FDR,0.05
1.5290181121068056,Benjamini-Hochberg FDR,0.05
3.612713275781477,Benjamini-Hochberg FDR,0.05
17.749560829412676,Benjamini-Hochberg FDR,0.05
5.7893475642082,Benjamini-Hochberg FDR,0.05
15.376748608928414,Benjamini-Hochberg FDR,0.05
23.830584245547353,Benjamini-Hochberg FDR,0.05
18.24551639737465,Benjamini-Hochberg FDR,0.05
4.778718265803858,Benjamini-Hochberg FDR,0.05
16.435537401743638,Benjamini-Hochberg FDR,0.05
21.50557005560716,Benjamini-Hochberg FDR,0.05
13.133919812642104,Benjamini-Hochberg FDR,0.05
4.674768271555112,Benjamini-Hochberg FDR,0.05
0.7725394492814281,Benjamini-Hochberg FDR,0.05
21.802506086279628,Benjamini-Hochberg FDR,0.05
0.7129557880505111,Benjamini-Hochberg FDR,0.05
4.501634947009652,Benjamini-Hochberg FDR,0.05
0.1792354808308687,Benjamini-Hochberg FDR,0.05
18.961980796060594,Benjamini-Hochberg FDR,0.05
4.617216689457526,Benjamini-Hochberg FDR,0.05
23.323381823567708,Benjamini-Hochberg FDR,0.05
15.437767985990742,Benjamini-Hochberg FDR,0.05
5.903783276676192,Benjamini-Hochberg FDR,0.05
15.021163693104219,Benjamini-Hochberg FDR,0.05
4.303639822881462,Benjamini-Hochberg FDR,0.05
