component,phase_local_peak,metric_label,correction,alpha
PC2,5.362683205938194,PC2,Benjamini-Hochberg FDR,0.05
PC2,0.3748089650277038,PC2,Benjamini-Hochberg FDR,0.05
PC2,17.182158184507127,PC2,Benjamini-Hochberg FDR,0.05
PC2,5.70501302943583,PC2,Benjamini-Hochberg FDR,0.05
PC2,8.636502619952084,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.810499329052263,PC2,Benjamini-Hochberg FDR,0.05
PC2,14.400429334629997,PC2,Benjamini-Hochberg FDR,0.05
PC2,5.520258600093878,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.88092046159141,PC2,Benjamini-Hochberg FDR,0.05
PC2,9.685354470837325,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.74687718044847,PC2,Benjamini-Hochberg FDR,0.05
PC2,8.872353292246753,PC2,Benjamini-Hochberg FDR,0.05
PC2,16.907956426531925,PC2,Benjamini-Hochberg FDR,0.05
PC2,18.448785626950887,PC2,Benjamini-Hochberg FDR,0.05
PC2,0.4444542140323371,PC2,Benjamini-Hochberg FDR,0.05
PC2,1.62348661355189,PC2,Benjamini-Hochberg FDR,0.05
PC2,10.316029691537105,PC2,Benjamini-Hochberg FDR,0.05
PC2,5.0941142379646935,PC2,Benjamini-Hochberg FDR,0.05
PC2,11.117689231941359,PC2,Benjamini-Hochberg FDR,0.05
PC2,3.049005362725338,PC2,Benjamini-Hochberg FDR,0.05
PC2,18.93007131193643,PC2,Benjamini-Hochberg FDR,0.05
PC2,6.538752750545416,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.378865694433088,PC2,Benjamini-Hochberg FDR,0.05
PC2,7.690880110941207,PC2,Benjamini-Hochberg FDR,0.05
PC2,19.03948395368875,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.047750146780102,PC2,Benjamini-Hochberg FDR,0.05
PC2,6.314670129924484,PC2,Benjamini-Hochberg FDR,0.05
PC2,18.38278136460235,PC2,Benjamini-Hochberg FDR,0.05
PC2,6.251725751025371,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.49803416326286,PC2,Benjamini-Hochberg FDR,0.05
PC2,12.644768974977673,PC2,Benjamini-Hochberg FDR,0.05
PC2,2.084559396802152,PC2,Benjamini-Hochberg FDR,0.05
PC2,10.325764030452692,PC2,Benjamini-Hochberg FDR,0.05
PC2,9.377400474285816,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.09092659408817,PC2,Benjamini-Hochberg FDR,0.05
PC2,17.018269504523538,PC2,Benjamini-Hochberg FDR,0.05
PC2,6.809656871029,PC2,Benjamini-Hochberg FDR,0.05
PC2,1.4658459117895628,PC2,Benjamini-Hochberg FDR,0.05
PC2,6.048818346376947,PC2,Benjamini-Hochberg FDR,0.05
PC2,12.96956917483628,PC2,Benjamini-Hochberg FDR,0.05
PC2,6.810073468558405,PC2,Benjamini-Hochberg FDR,0.05
PC2,4.708611408067661,PC2,Benjamini-Hochberg FDR,0.05
PC2,17.23939966245883,PC2,Benjamini-Hochberg FDR,0.05
PC2,6.628163795233858,PC2,Benjamini-Hochberg FDR,0.05
PC2,5.387759454763972,PC2,Benjamini-Hochberg FDR,0.05
PC2,9.177239307888534,PC2,Benjamini-Hochberg FDR,0.05
PC2,6.393061574781123,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.13676312435057,PC2,Benjamini-Hochberg FDR,0.05
PC2,23.608780498649317,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.505335975273939,PC2,Benjamini-Hochberg FDR,0.05
PC2,12.252053973178286,PC2,Benjamini-Hochberg FDR,0.05
PC2,10.473910652831664,PC2,Benjamini-Hochberg FDR,0.05
PC2,11.782684994489179,PC2,Benjamini-Hochberg FDR,0.05
PC2,1.5617529807872224,PC2,Benjamini-Hochberg FDR,0.05
PC2,6.289358733608679,PC2,Benjamini-Hochberg FDR,0.05
PC2,9.19163956965517,PC2,Benjamini-Hochberg FDR,0.05
PC2,9.504404822199678,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.137521973643427,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.982069775666222,PC2,Benjamini-Hochberg FDR,0.05
PC2,1.6206316295912617,PC2,Benjamini-Hochberg FDR,0.05
PC2,20.816196488307817,PC2,Benjamini-Hochberg FDR,0.05
PC2,8.804963660614117,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.741644358859592,PC2,Benjamini-Hochberg FDR,0.05
