scope,metric,n_significant,circular_corr_play_vs_peak,median_coverage_days
BR1,PC1,96,-0.23029279167254446,237.98310176504629
BR1,PC2,59,0.2133236839982085,237.0471909490741
EUN1,PC1,110,0.08166169743540828,241.93777888310188
EUN1,PC2,68,0.32604482952006575,250.98134765046296
EUW1,PC1,176,0.32444554622066,246.12582286458334
EUW1,PC2,205,0.3136112545530668,240.14006997685183
LA1,PC1,91,-0.1424735299832407,239.76260184027777
LA1,PC2,31,0.07257901137659903,235.8217006828704
LA2,PC1,96,0.07078465634833611,231.86388153935184
LA2,PC2,15,0.123991032055089,247.7841622800926
NA1,PC1,254,-0.015450422571561583,245.51694888310186
NA1,PC2,284,0.13388598648317962,245.11904478009262
OC1,PC1,169,-0.02747921254974994,223.75510190972224
OC1,PC2,57,0.31414336860668585,216.49373416666666
POOLED,PC1,992,0.01682354915893009,
POOLED,PC2,719,0.16229506735109797,
