platform,utc_offset_hours,utc_hour,local_hour,n_games,fraction
BR1,-3,0,21,77816,0.063094991952583
BR1,-3,1,22,76041,0.061655781369723
BR1,-3,2,23,72992,0.0591835824586581
BR1,-3,3,0,66057,0.0535605258997093
BR1,-3,4,1,54822,0.0444509310273531
BR1,-3,5,2,41768,0.0338664493661392
BR1,-3,6,3,28891,0.0234254833517795
BR1,-3,7,4,18963,0.0153756339621264
BR1,-3,8,5,13355,0.0108285393431523
BR1,-3,9,6,11038,0.0089498627682303
BR1,-3,10,7,12982,0.0105261024150358
BR1,-3,11,8,18566,0.0150537372852839
BR1,-3,12,9,27114,0.0219846511231923
BR1,-3,13,10,35680,0.0289301597726452
BR1,-3,14,11,43232,0.0350534940384248
BR1,-3,15,12,50135,0.040650604265739
BR1,-3,16,13,60892,0.0493726258093025
BR1,-3,17,14,69306,0.0561948893834908
BR1,-3,18,15,72679,0.0589297949023566
BR1,-3,19,16,74428,0.0603479240907635
BR1,-3,20,17,74747,0.0606065765842465
BR1,-3,21,18,75696,0.0613760474817868
BR1,-3,22,19,78023,0.0632628322853447
BR1,-3,23,20,78092,0.063318779062932
EUN1,2,0,2,33232,0.0264526805706685
EUN1,2,1,3,23707,0.0188707781141321
EUN1,2,2,4,17537,0.0139594565228639
EUN1,2,3,5,13506,0.0107507794832525
EUN1,2,4,6,12613,0.0100399512529442
EUN1,2,5,7,14489,0.0115332477367722
EUN1,2,6,8,19886,0.0158292611286806
EUN1,2,7,9,28605,0.0227695873773463
EUN1,2,8,10,37634,0.0299566737059622
EUN1,2,9,11,47218,0.037585540177715
EUN1,2,10,12,54255,0.043186993992586
EUN1,2,11,13,62008,0.0493583839921164
EUN1,2,12,14,68780,0.0547488977386428
EUN1,2,13,15,72596,0.0577864347228048
EUN1,2,14,16,75853,0.0603790075627984
EUN1,2,15,17,77846,0.0619654360768012
EUN1,2,16,18,79902,0.063602012607052
EUN1,2,17,19,83063,0.0661181694222868
EUN1,2,18,20,86332,0.0687202942653753
EUN1,2,19,21,85819,0.0683119461330705
EUN1,2,20,22,81314,0.0647259649712126
EUN1,2,21,23,72700,0.0578692187496268
EUN1,2,22,0,60564,0.0482089596197029
EUN1,2,23,1,46822,0.037270324075585
EUW1,1,0,1,55615,0.0375947981751161
EUW1,1,1,2,41679,0.028174298177482
EUW1,1,2,3,29625,0.0200259983086903
EUW1,1,3,4,20788,0.0140523359608795
EUW1,1,4,5,16686,0.0112794534271327
EUW1,1,5,6,15772,0.0106616049054739
EUW1,1,6,7,18415,0.0124482281469884
EUW1,1,7,8,25551,0.0172720433007712
EUW1,1,8,9,34681,0.0234437686867068
EUW1,1,9,10,44883,0.0303401479186143
