metric,platform,n_phases,included,min_phases
PC1,BR1,98,True,20
PC1,EUN1,112,True,20
PC1,EUW1,176,True,20
PC1,ID1,40,True,20
PC1,JP1,718,True,20
PC1,LA1,94,True,20
PC1,LA2,96,True,20
PC1,NA1,253,True,20
PC1,OC1,171,True,20
PC1,PBE1,2,False,20
PC1,TR1,122,True,20
PC2,BR1,59,True,20
PC2,EUN1,68,True,20
PC2,EUW1,209,True,20
PC2,ID1,1,False,20
PC2,JP1,765,True,20
PC2,LA1,34,True,20
PC2,LA2,15,False,20
PC2,NA1,282,True,20
PC2,OC1,46,True,20
PC2,PBE1,0,False,20
PC2,TR1,72,True,20
DeltaMMR,BR1,1,False,20
DeltaMMR,EUN1,5,False,20
DeltaMMR,EUW1,2,False,20
DeltaMMR,ID1,3,False,20
DeltaMMR,JP1,2,False,20
DeltaMMR,LA1,4,False,20
DeltaMMR,LA2,1,False,20
DeltaMMR,NA1,6,False,20
DeltaMMR,OC1,5,False,20
DeltaMMR,PBE1,0,False,20
DeltaMMR,TR1,2,False,20
