metric,platform,phase_local_peak
PC1,BR1,19.932590506286083
PC1,BR1,19.09974098906089
PC1,BR1,2.704209246441491
PC1,BR1,21.06474975234094
PC1,BR1,11.105562164684317
PC1,BR1,20.53312509633518
PC1,BR1,12.469929009167556
PC1,BR1,6.710855043928024
PC1,BR1,13.713163004672708
PC1,BR1,12.999639181880475
PC1,BR1,1.2892432835939998
PC1,BR1,6.64352291775162
PC1,BR1,18.480069140924176
PC1,BR1,4.245898061151449
PC1,BR1,4.13226097250835
PC1,BR1,22.14371861467537
PC1,BR1,7.229173021794823
PC1,BR1,0.3556331106117283
PC1,BR1,20.02935925286046
PC1,BR1,0.8940015359608724
PC1,BR1,9.11727817194476
PC1,BR1,4.082473210212899
PC1,BR1,9.375120165386416
PC1,BR1,5.87725937359304
PC1,BR1,17.137621837431624
PC1,BR1,19.9215258304227
PC1,BR1,14.693500988622333
PC1,BR1,23.466934243262696
PC1,BR1,1.4740307259627352
PC1,BR1,19.883939691158087
PC1,BR1,16.876801516355044
PC1,BR1,3.326126475795813
PC1,BR1,0.324447293527395
PC1,BR1,15.661179294854469
PC1,BR1,16.660780189817014
PC1,BR1,2.7172048749347057
PC1,BR1,11.5229576163956
PC1,BR1,3.505253040139827
PC1,BR1,3.7868800665876634
PC1,BR1,6.484834323204714
PC1,BR1,17.037811855709474
PC1,BR1,6.905414352821065
PC1,BR1,13.63059524064743
PC1,BR1,9.266371170718587
PC1,BR1,0.4479522990495592
PC1,BR1,10.54453512200854
PC1,BR1,0.5796928129299732
PC1,BR1,11.53542546138353
PC1,BR1,3.8967314835103375
PC1,BR1,4.666860813604799
PC1,BR1,2.242639920367933
PC1,BR1,15.972330343252498
PC1,BR1,9.837672168395438
PC1,BR1,4.520899831704106
PC1,BR1,20.108946446330485
PC1,BR1,0.1428563745655204
PC1,BR1,21.849504391812346
PC1,BR1,6.876019516093583
PC1,BR1,18.17010782378823
PC1,BR1,2.4580993215206366
PC1,BR1,13.51053579316352
PC1,BR1,11.438332078364269
PC1,BR1,8.538361242690666
PC1,BR1,6.586665497611083
PC1,BR1,14.200030056468496
PC1,BR1,14.276217162732884
PC1,BR1,17.600257508363352
PC1,BR1,14.961876308028728
PC1,BR1,3.864509085809555
PC1,BR1,21.30711994169367
PC1,BR1,4.662344682901988
PC1,BR1,21.776548296348984
PC1,BR1,19.38011831413059
PC1,BR1,18.25932234670587
PC1,BR1,22.952864432867656
PC1,BR1,3.545886229343133
PC1,BR1,17.708566365663906
