local_hour,n_servers,weight_col,weight_sum,weighted_win_rate_z,weighted_sem_win_rate_z,weighted_win_rate,weighted_sem_win_rate,n_win_games
0,8,n_win_games,4983127.0,0.2708324724985934,0.10239138756292906,0.4895157197478611,0.004028400497484808,4983127
1,8,n_win_games,3793875.0,0.651988662238189,0.2621242110321581,0.49046186287107507,0.0039905207082963365,3793875
2,8,n_win_games,2706359.0,0.592325022770607,0.21919091551400302,0.4903931813924169,0.004098100167234789,2706359
3,8,n_win_games,1841045.0,0.5600791141755684,0.3205070358961022,0.4911156435611297,0.004518425136775703,1841045
4,8,n_win_games,932698.0,0.7508271073463372,0.2651239742390262,0.48713195482353344,0.002829609784878325,932698
5,8,n_win_games,643874.0,1.57098735110261,0.5037997625552318,0.4886406346583338,0.0020122575033969642,643874
6,8,n_win_games,565959.0,1.8560843957225033,0.5531042137926085,0.48887110197028405,0.0020266980486801076,565959
7,8,n_win_games,709802.0,0.9701844082034837,0.4100741821751822,0.4867949090027923,0.0020928341428116254,709802
8,8,n_win_games,1100077.0,-0.5219547528290776,0.20994349334595538,0.48303527843960015,0.0023560865961775495,1100077
9,8,n_win_games,1692192.0,-0.23752614075930217,0.23657670757991142,0.4835184187137157,0.002316642107462307,1692192
10,8,n_win_games,2349542.0,-0.37306829051475254,0.23500510982950584,0.4832669516016313,0.002177835820989044,2349542
11,8,n_win_games,2879598.0,-0.36958461524815084,0.18306832140574622,0.4831229914731153,0.002278766175167514,2879598
12,8,n_win_games,3463680.0,-0.1039933118318661,0.11712439592444306,0.4842231383961567,0.002926884268888727,3463680
13,8,n_win_games,4118010.0,-0.2224897503922462,0.22600275261585503,0.48417148088518486,0.0031287600473844887,4118010
14,8,n_win_games,4727217.0,-0.4378815643422628,0.17742226597083927,0.4837582027649672,0.0030633918738516,4727217
15,8,n_win_games,5589237.0,-0.6135430415668214,0.19039772278925335,0.48531973147676505,0.003977295887756465,5589237
16,8,n_win_games,5878336.0,-0.7771181324829511,0.25810227678916325,0.4853094481159294,0.003961020384038278,5878336
17,8,n_win_games,5986299.0,-0.8345309511714348,0.24102030512311154,0.4853240708491173,0.003910147599446194,5986299
18,8,n_win_games,6032309.0,-0.8986969190029037,0.2243376444930511,0.48518502616493947,0.003928350658064905,6032309
19,8,n_win_games,6359756.0,-0.7767254839202491,0.2491355253109077,0.48550651943250656,0.003905394888021161,6359756
20,8,n_win_games,6796373.0,-0.7004700450430833,0.274225778636117,0.4866007207079423,0.004313056398466405,6796373
21,8,n_win_games,6899045.0,-0.2017374369426292,0.14782915077070233,0.48795521699017763,0.0044122862052640805,6899045
22,8,n_win_games,6652024.0,0.1349745423984309,0.07714978908682334,0.48924988845500256,0.004407470596313393,6652024
23,8,n_win_games,6015629.0,0.4440161023575946,0.17902987130663311,0.4897569314863001,0.004231418369492446,6015629
