platform,target_best_period,target_power_24,win_rate_mean,win_rate_best_period,win_rate_power_24,performance_pc1_explained,performance_pc2_explained,performance_pc3_explained,success_pc1_explained,success_pc2_explained,success_pc3_explained,success_pc1_win_rate_loading,success_pc2_win_rate_loading,success_pc3_win_rate_loading,pc1_player_periodogram_best_period,pc1_player_periodogram_valid_players,pc2_player_periodogram_best_period,pc2_player_periodogram_valid_players,deltammr_player_periodogram_best_period,deltammr_player_periodogram_valid_players,pc1_phase_players,pc1_phase_fdr_significant,pc2_phase_players,pc2_phase_fdr_significant,deltammr_phase_players,deltammr_phase_fdr_significant,pc1_circular_status,pc1_circular_preferred,pc1_circular_n,pc2_circular_status,pc2_circular_preferred,pc2_circular_n,deltammr_circular_status,deltammr_circular_preferred,deltammr_circular_n,status,elapsed_seconds
BR1,24.048192771084338,0.017035068632832516,0.46108873912559734,24.048192771084338,0.009110697145329402,0.668248824250595,0.1805045857777174,0.07041308374447207,0.6661442217275786,0.16076889306121186,0.06423918886240872,0.3394773309153127,0.04053612315794357,0.22517384001874946,23.940119760479043,1000,24.066215199398044,1000,23.940119760479043,1000,1000,98,1000,59,1000,1,fit,1-component,98,fit,1-component,59,skipped,,1,ok,34.37
EUN1,24.048192771084338,0.04343221881602838,0.4672222469925528,24.048192771084338,0.002806184104792514,0.586514570360929,0.21422693114249106,0.1009033334666615,0.5763335378686478,0.19584362090610674,0.09212924862477478,0.325512870589447,0.1799214178026519,0.2193215022498226,24.066215199398044,1000,24.066215199398044,1000,24.024036054081122,1000,1000,112,1000,68,1000,5,fit,1-component,112,fit,1-component,68,skipped,,5,ok,35.96
EUW1,11.993990986479721,0.007410367675011884,0.47894773460814255,23.88035892323031,0.009422860965406864,0.6451214093633257,0.1915608398898554,0.086925969702119,0.6417780973053749,0.17884459296238506,0.08083471451656754,0.3385893973184689,0.22662884983465187,0.2421205819455392,23.940119760479043,1000,24.066215199398044,1000,24.024036054081122,1000,1000,176,1000,209,1000,2,fit,2-component,176,fit,1-component,209,skipped,,2,ok,64.79
ID1,24.048192771084338,0.01724091810164814,0.45121177947563584,24.218402426693633,0.005307701639857611,0.36932346421653456,0.2425571143211498,0.14998058102369266,0.34077860986455977,0.2192905299340283,0.13626822310940573,0.22262487520537422,-0.17555721906724261,0.2734496146690769,23.85678766782695,1000,24.151019380820543,1000,24.236423339227077,1000,1000,42,1000,1,1000,3,fit,1-component,42,skipped,,1,skipped,,3,ok,34.85
JP1,24.048192771084338,0.10048650212282953,0.5063371727098084,24.048192771084338,0.008439436725939534,0.6464983690336483,0.19317720175664585,0.07528055477262885,0.5754768993550897,0.17232764386745317,0.11111839536756454,0.03692528815227282,0.07875933453275702,0.9897644894408009,23.940119760479043,1000,23.940119760479043,1000,44.422222222222224,1000,1000,717,1000,765,1000,2,fit,2-component,717,fit,2-component,765,skipped,,2,ok,31.03
LA1,24.048192771084338,0.008118790798228038,0.4600812702360041,24.048192771084338,0.0016559902895196123,0.542547390115966,0.21840262868149804,0.11631690675115355,0.5399293395039213,0.19410058780201814,0.10342673088164508,0.34385695456638526,0.009738829922633432,-0.0012390273416603148,23.940119760479043,1000,23.940119760479043,1000,24.066215199398044,1000,1000,89,1000,34,1000,4,fit,1-component,89,fit,1-component,34,skipped,,4,ok,34.54
LA2,24.048192771084338,0.006237349123244878,0.46060285081250824,10.328589909443728,0.0014259204337507992,0.5142784839830994,0.24384990290548678,0.10825239727670057,0.5087285220358295,0.21759672664674512,0.09680662450243711,0.3394845069733835,-0.05898395972895793,0.11270121776042943,23.940119760479043,1000,24.066215199398044,1000,23.940119760479043,1000,1000,96,1000,15,1000,1,fit,1-component,96,skipped,,15,skipped,,1,ok,30.23
NA1,11.993990986479721,0.0061033102957907225,0.4832178827864062,23.88035892323031,0.00392905256107098,0.6128123251426373,0.1608871957855213,0.11862325241498001,0.589575045699765,0.1480809476433014,0.10644008096430452,0.2931849525701785,0.23310423594661006,0.13904876647350561,24.066215199398044,1000,24.066215199398044,1000,23.982004498875284,1000,1000,254,1000,282,1000,6,fit,1-component,254,fit,1-component,282,skipped,,6,ok,34.93
OC1,11.993990986479721,0.003008317514021599,0.4844308989529951,20.33276740237691,0.002547162498067935,0.42057633627708985,0.22520065198966518,0.1412766028349518,0.39056993446024757,0.2080863116008694,0.12805569968316896,0.23917249937000687,0.24644086891470407,0.23678673641633965,24.066215199398044,1000,24.066215199398044,1000,23.940119760479043,1000,1000,171,1000,46,1000,5,fit,1-component,171,fit,1-component,46,skipped,,5,ok,33.09
PBE1,7.007606787595086,0.0014411092252607947,0.5130411885359499,18.368098159509206,0.0013871953409233943,0.38167515635495575,0.2534759980957746,0.14782355588910337,0.3474958509999287,0.23941083611185687,0.13747536609171285,0.20224044237828734,-0.288664579931288,0.2909733467134299,23.650973625831895,43,24.151019380820543,43,9.642447995176365,43,43,2,43,0,43,0,skipped,,2,skipped,,0,skipped,,0,ok,3.06
TR1,24.048192771084338,0.05301762148607316,0.4683396470966047,24.048192771084338,0.008103118972419863,0.5426734960278463,0.24193463373502916,0.1112156744870875,0.5446328437126591,0.2155353614166681,0.09927299395890836,0.35440853631670205,-0.050515445876637054,0.08643654457137168,23.940119760479043,1000,23.898381070983813,1000,24.066215199398044,1000,1000,123,1000,72,1000,2,fit,1-component,123,fit,1-component,72,skipped,,2,ok,31.9
